"ensembl","gene"
"ENSMUSG00000041809","Efhc1"
"ENSMUSG00000027596","a"
"ENSMUSG00000020513","Tubd1"
"ENSMUSG00000021589","Rhobtb3"
"ENSMUSG00000031629","Mlf1ip"
"ENSMUSG00000015749","Anp32e"
"ENSMUSG00000028718","Stil"
"ENSMUSG00000045932","Ifit2"
"ENSMUSG00000028124","Gclm"
"ENSMUSG00000058290","Espl1"
"ENSMUSG00000053025","Sv2b"
"ENSMUSG00000020193","Zpbp"
"ENSMUSG00000020623","Map2k6"
"ENSMUSG00000064247","Plcxd1"
"ENSMUSG00000028063","Lmna"
"ENSMUSG00000037487","Ubr5"
"ENSMUSG00000025646","Atrip"
"ENSMUSG00000029131","Dnajb6"
"ENSMUSG00000028488","Sh3gl2"
"ENSMUSG00000029094","Afap1"
"ENSMUSG00000029463","Fam216a"
"ENSMUSG00000022822","Abcc5"
"ENSMUSG00000027552","E2f5"
"ENSMUSG00000032555","Topbp1"
"ENSMUSG00000030161","Gabarapl1"
"ENSMUSG00000040152","Thbs1"
"ENSMUSG00000051451","Crebzf"
"ENSMUSG00000006127","Inpp5k"
"ENSMUSG00000022677","Fopnl"
"ENSMUSG00000071172","Srsf3"
"ENSMUSG00000026851","BC005624"
"ENSMUSG00000059674","Cdh24"
"ENSMUSG00000031822","Gse1"
"ENSMUSG00000015839","Nfe2l2"
"ENSMUSG00000023104","Rfc2"
"ENSMUSG00000028702","Rad54l"
"ENSMUSG00000042622","Maff"
"ENSMUSG00000021265","Slc25a29"
"ENSMUSG00000018965","Ywhah"
"ENSMUSG00000023034","Nr4a1"
"ENSMUSG00000002393","Nr2f6"
"ENSMUSG00000072568","Fam84b"
"ENSMUSG00000020171","Yeats4"
"ENSMUSG00000040738","Ints8"
"ENSMUSG00000002885","Cd97"
"ENSMUSG00000033863","Klf9"
"ENSMUSG00000031508","Ankrd10"
"ENSMUSG00000021175","Cdca7l"
"ENSMUSG00000043998","Mgat2"
"ENSMUSG00000019791","Hint3"
"ENSMUSG00000056708","Ier5"
"ENSMUSG00000042784","Muc1"
"ENSMUSG00000026662","Sephs1"
"ENSMUSG00000034858","Fam214a"
"ENSMUSG00000030145","Zfp248"
"ENSMUSG00000020354","Sgcd"
"ENSMUSG00000033752","Mnd1"
"ENSMUSG00000052684","Jun"
"ENSMUSG00000029726","Mepce"
"ENSMUSG00000002661","Alkbh7"
"ENSMUSG00000091900","Gm4353"
"ENSMUSG00000026999","Nup35"
"ENSMUSG00000003882","Il7r"
"ENSMUSG00000035493","Tgfbi"
"ENSMUSG00000027678","Ncoa3"
"ENSMUSG00000031292","Cdkl5"
"ENSMUSG00000005470","Asf1b"
"ENSMUSG00000020361","Hspa4"
"ENSMUSG00000039801","2410089E03Rik"
"ENSMUSG00000026469","Xpr1"
"ENSMUSG00000026814","Eng"
"ENSMUSG00000020994","Pnn"
"ENSMUSG00000034485","Uaca"
"ENSMUSG00000021950","Anxa8"
"ENSMUSG00000029999","Tgfa"
"ENSMUSG00000052560","Cpne8"
"ENSMUSG00000054364","Rhob"
"ENSMUSG00000034931","Dhx8"
"ENSMUSG00000034327","Kctd9"
"ENSMUSG00000026196","Bard1"
"ENSMUSG00000002602","Axl"
"ENSMUSG00000042207","Kdm5b"
"ENSMUSG00000050821","Fam131a"
"ENSMUSG00000025983","Ccdc150"
"ENSMUSG00000016933","Plcg1"
"ENSMUSG00000029638","Glcci1"
"ENSMUSG00000025407","Gli1"
"ENSMUSG00000025395","Prim1"
"ENSMUSG00000024197","Plin3"
"ENSMUSG00000037013","Ss18"
"ENSMUSG00000039070","Cpa4"
"ENSMUSG00000014905","Dnajb9"
"ENSMUSG00000027173","Depdc7"
"ENSMUSG00000026974","Zmynd19"
"ENSMUSG00000025020","Slit1"
"ENSMUSG00000003206","Ebi3"
"ENSMUSG00000021670","Hmgcr"
"ENSMUSG00000033149","Phldb2"
"ENSMUSG00000037344","Slc12a9"
"ENSMUSG00000033721","Vav3"
"ENSMUSG00000029863","Casp2"
"ENSMUSG00000025194","Abcc2"
"ENSMUSG00000037573","Tob1"
"ENSMUSG00000024736","Tmem132a"
"ENSMUSG00000032586","Traip"
"ENSMUSG00000001687","Ubl3"
"ENSMUSG00000027954","Efna1"
"ENSMUSG00000049521","Cdc42ep1"
"ENSMUSG00000026159","Agfg1"
"ENSMUSG00000063870","Chd4"
"ENSMUSG00000016257","Slmo2"
"ENSMUSG00000005698","Ctcf"
"ENSMUSG00000025723","Nmb"
"ENSMUSG00000020911","Krt19"
"ENSMUSG00000004187","Kifc2"
"ENSMUSG00000002014","Ssr4"
"ENSMUSG00000024222","Fkbp5"
"ENSMUSG00000027706","Sec62"
"ENSMUSG00000031669","Gins3"
"ENSMUSG00000015533","Itga2"
"ENSMUSG00000020057","Dram1"
"ENSMUSG00000023025","Larp4"
"ENSMUSG00000038637","Lrrc56"
"ENSMUSG00000030878","Cdr2"
"ENSMUSG00000036181","Hist1h1c"
"ENSMUSG00000024029","Tff3"
"ENSMUSG00000032883","Acsl3"
"ENSMUSG00000046062","Ppp1r15b"
"ENSMUSG00000019850","Tnfaip3"
"ENSMUSG00000050520","Cldn8"
"ENSMUSG00000006705","Pknox1"
"ENSMUSG00000026434","Nucks1"
"ENSMUSG00000028413","B4galt1"
"ENSMUSG00000031756","Cenpn"
"ENSMUSG00000001507","Itga3"
"ENSMUSG00000008393","Carhsp1"
"ENSMUSG00000027459","Fam110a"
"ENSMUSG00000039116","Gpr126"
"ENSMUSG00000024666","Tmem138"
"ENSMUSG00000028179","Cth"
"ENSMUSG00000021701","Plk2"
"ENSMUSG00000073542","Cep76"
"ENSMUSG00000002881","Nab1"
"ENSMUSG00000020198","Ap3d1"
"ENSMUSG00000041684","Bivm"
"ENSMUSG00000043923","Ccdc84"
"ENSMUSG00000022833","Ccdc14"
"ENSMUSG00000021134","Srsf5"
"ENSMUSG00000020781","Tsen54"
"ENSMUSG00000040446","Rprd1a"
"ENSMUSG00000041268","Dmxl2"
"ENSMUSG00000020801","Med31"
"ENSMUSG00000025747","Tyms"
"ENSMUSG00000030978","Rrm1"
"ENSMUSG00000037773","Pced1a"
"ENSMUSG00000025582","Nptx1"
"ENSMUSG00000028163","Nfkb1"
"ENSMUSG00000046947","Adck2"
"ENSMUSG00000023068","Nus1"
"ENSMUSG00000037820","Tgm2"
"ENSMUSG00000004371","Il11"
"ENSMUSG00000024754","Tmem2"
"ENSMUSG00000031310","Zmym3"
"ENSMUSG00000056370","Sftpb"
"ENSMUSG00000038323","1700066M21Rik"
"ENSMUSG00000032366","Tpm1"
"ENSMUSG00000052837","Junb"
"ENSMUSG00000029162","Khk"
"ENSMUSG00000020850","Prpf8"
"ENSMUSG00000021250","Fos"
"ENSMUSG00000039987","Phtf2"
"ENSMUSG00000049872","Fam26e"
"ENSMUSG00000032952","Ap4b1"
"ENSMUSG00000022914","Brwd1"
"ENSMUSG00000043592","Unc5cl"
"ENSMUSG00000053862","Slc51b"
"ENSMUSG00000020315","Sptbn1"
"ENSMUSG00000040044","Orc3"
"ENSMUSG00000037466","4930427A07Rik"
"ENSMUSG00000026960","Arl6ip6"
"ENSMUSG00000029311","Hsd17b11"
"ENSMUSG00000031274","Col4a5"
"ENSMUSG00000022136","Dnajc3"
"ENSMUSG00000031770","Herpud1"
"ENSMUSG00000067367","Lyar"
"ENSMUSG00000012126","Ubxn11"
"ENSMUSG00000078773","Rad54b"
"ENSMUSG00000032309","Fbxo22"
"ENSMUSG00000018849","Wwc1"
